Constant,Participant,Face,Context,attract,pitch,base
1,8,25,1,8,82.53,90.14
1,8,26,1,3,86.12,88.43
1,8,27,1,6,84.69,86.97
1,8,28,1,9,85.8,86.24
1,8,29,1,7,85.8,88.72
1,8,30,1,2,81.45,96.12
1,8,31,1,7,84.59,88.72
1,8,32,1,7,85.12,88.72
1,8,1,2,7,86.08,88.72
1,8,2,2,3,85.72,88.43
1,8,3,2,4,84.28,93.87
1,8,4,2,8,83.58,90.14
1,8,5,2,6,85.01,86.97
1,8,6,2,4,87.23,93.87
1,8,7,2,6,93.04,86.97
1,8,8,2,3,84.92,88.43
1,8,9,2,5,83.1,86.32
1,8,10,2,6,85.38,86.97
1,8,11,2,6,84.3,86.97
1,8,12,2,4,84.49,93.87
1,8,13,2,7,84.87,88.72
1,8,14,2,5,83.45,86.32
1,8,15,2,8,99.62,90.14
1,8,16,2,6,88.4,86.97
1,8,17,2,5,83.44,86.32
1,8,18,2,6,85.97,86.97
1,8,19,2,7,95.23,88.72
1,8,20,2,5,92.8,86.32
1,8,21,2,8,89.26,90.14
1,8,22,2,7,100.09,88.72
1,8,23,2,7,88.99,88.72
1,8,24,2,7,86.77,88.72
1,8,25,2,8,88.93,90.14
1,8,26,2,6,100.72,86.97
1,8,27,2,6,77.18,86.97
1,8,28,2,8,79.97,90.14
1,8,29,2,7,89.9,88.72
1,8,30,2,4,85.45,93.87
1,8,31,2,7,84.86,88.72
1,8,32,2,7,85.43,88.72
1,9,1,1,5,125.18,120.75
1,9,2,1,1,117.16,126.19
1,9,3,1,1,118.57,126.19
1,9,4,1,6,125.46,126
1,9,5,1,1,126.69,126.19
1,9,6,1,1,118.41,126.19
1,9,7,1,4,127.21,136.08
1,9,8,1,1,125.41,126.19
1,9,9,1,3,117.42,125.17
1,9,10,1,2,114.68,122.37
1,9,11,1,5,115.46,120.75
1,9,12,1,2,119.66,122.37
1,9,13,1,6,125.55,126
1,9,14,1,2,114.47,122.37
1,9,15,1,6,116.63,126
1,9,16,1,4,127.05,136.08
1,9,17,1,2,117.9,122.37
1,9,18,1,3,118.46,125.17
1,9,19,1,3,116.55,125.17
1,9,20,1,5,118.31,120.75
1,9,21,1,7,138.12,118
1,9,22,1,4,130.78,136.08
1,9,23,1,3,119.32,125.17
1,9,24,1,6,124.07,126
1,9,25,1,6,118.09,126
1,9,26,1,4,128.87,136.08
1,9,27,1,1,125.8,126.19
1,9,28,1,7,130.47,118
1,9,29,1,2,122.31,122.37
1,9,30,1,6,130.3,126
1,9,31,1,5,119.4,120.75
1,9,32,1,3,119.19,125.17
1,9,1,2,5,129.03,120.75
1,9,2,2,1,119.55,126.19
1,9,3,2,1,127.72,126.19
1,9,4,2,8,125.04,129.28
1,9,5,2,4,136.72,136.08
1,9,6,2,1,124.25,126.19
1,9,7,2,6,124.88,126
1,9,8,2,1,126.57,126.19
1,9,9,2,6,127.79,126
1,9,10,2,3,118.39,125.17
1,9,11,2,5,126.41,120.75
1,9,12,2,2,131.86,122.37
1,9,13,2,7,132.71,118
1,9,14,2,4,145.97,136.08
1,9,15,2,6,131.3,126
1,9,16,2,3,125.59,125.17
1,9,17,2,2,136.35,122.37
1,9,18,2,3,118.96,125.17
1,9,19,2,3,128.55,125.17
1,9,20,2,5,126.08,120.75
1,9,21,2,8,117.16,129.28
1,9,22,2,6,101.86,126
1,9,23,2,7,129.46,118
1,9,24,2,7,122.4,118
1,9,25,2,7,131.17,118
1,9,26,2,6,118.41,126
1,9,27,2,1,120.28,126.19
1,9,28,2,9,120,120.17
1,9,29,2,4,125.3,136.08
1,9,30,2,8,141.63,129.28
1,9,31,2,7,118.28,118
1,9,32,2,4,120.38,136.08
1,10,1,1,7,129.73,121.88
1,10,2,1,3,123.08,123.9
1,10,3,1,1,117.95,123.46
1,10,4,1,8,125.17,132.3
1,10,5,1,5,126.44,124.36
1,10,6,1,1,129.87,123.46
1,10,7,1,7,130.22,121.88
1,10,8,1,1,123.77,123.46
1,10,9,1,4,128.18,120.09
1,10,10,1,2,127.44,122.56
1,10,11,1,7,130.12,121.88
1,10,12,1,2,120.48,122.56
1,10,13,1,4,121.4,120.09
1,10,14,1,5,137.17,124.36
1,10,15,1,8,129.97,132.3
1,10,16,1,3,136.36,123.9
1,10,17,1,3,127.16,123.9
1,10,18,1,5,138.87,124.36
1,10,19,1,4,128.31,120.09
1,10,20,1,4,118.08,120.09
1,10,21,1,9,121.38,124.56
1,10,22,1,5,120.38,124.36
1,10,23,1,4,133.53,120.09
1,10,24,1,6,126,127.23
1,10,25,1,6,141.04,127.23
1,10,26,1,2,125.79,122.56
1,10,27,1,4,122.28,120.09
1,10,28,1,8,124.04,132.3
1,10,29,1,3,120.55,123.9
1,10,30,1,4,133.82,120.09
1,10,31,1,6,135.74,127.23
1,10,32,1,6,122.2,127.23
1,10,1,2,7,130.1,121.88
1,10,2,2,2,120.66,122.56
1,10,3,2,3,134.31,123.9
1,10,4,2,7,130.81,121.88
1,10,5,2,4,130.07,120.09
1,10,6,2,2,129.44,122.56
1,10,7,2,8,145.98,132.3
1,10,8,2,3,127.82,123.9
1,10,9,2,6,146.6,127.23
1,10,10,2,6,170.94,127.23
1,10,11,2,7,134.17,121.88
1,10,12,2,2,136.29,122.56
1,10,13,2,5,136.76,124.36
1,10,14,2,3,133.52,123.9
1,10,15,2,8,135.06,132.3
1,10,16,2,8,144.08,132.3
1,10,17,2,2,135.12,122.56
1,10,18,2,2,126.61,122.56
1,10,19,2,5,137.58,124.36
1,10,20,2,4,135.57,120.09
1,10,21,2,8,127.1,132.3
1,10,22,2,4,131.61,120.09
1,10,23,2,7,129.98,121.88
1,10,24,2,6,134.8,127.23
1,10,25,2,7,134.87,121.88
1,10,26,2,5,127.8,124.36
1,10,27,2,2,114.31,122.56
1,10,28,2,8,142.31,132.3
1,10,29,2,7,135.24,121.88
1,10,30,2,2,133.91,122.56
1,10,31,2,6,166.47,127.23
1,10,32,2,5,139.35,124.36
1,11,1,1,3,139.56,144.42
1,11,2,1,1,154.15,141.71
1,11,3,1,2,151.31,139.35
1,11,4,1,8,126.51,148.56
1,11,5,1,6,134.4,146.9
1,11,6,1,1,137.58,141.71
1,11,7,1,7,136.34,139.64
1,11,8,1,2,153.27,139.35
1,11,9,1,1,132.41,141.71
1,11,10,1,6,182.14,146.9
1,11,11,1,4,137.64,141.59
1,11,12,1,1,141.28,141.71
1,11,13,1,3,139.52,144.42
1,11,14,1,2,145.65,139.35
1,11,15,1,9,142.87,142.1
1,11,16,1,5,144.54,144.56
1,11,17,1,1,145.43,141.71
1,11,18,1,4,136.27,141.59
1,11,19,1,6,113.19,146.9
1,11,20,1,3,134.49,144.42
1,11,21,1,9,146.62,142.1
1,11,22,1,3,140.52,144.42
1,11,23,1,7,144.53,139.64
1,11,24,1,3,137.65,144.42
1,11,25,1,6,146.2,146.9
1,11,26,1,4,141.94,141.59
1,11,27,1,4,137.78,141.59
1,11,28,1,9,143.13,142.1
1,11,29,1,6,139.47,146.9
1,11,30,1,7,135.35,139.64
1,11,31,1,7,138.75,139.64
1,11,32,1,5,136.28,144.56
1,11,1,2,5,142,144.56
1,11,2,2,2,155.4,139.35
1,11,3,2,3,129.75,144.42
1,11,4,2,6,141.84,146.9
1,11,5,2,1,139.04,141.71
1,11,6,2,2,150.28,139.35
1,11,7,2,4,98.96,141.59
1,11,8,2,3,141.51,144.42
1,11,9,2,3,138.93,144.42
1,11,10,2,7,144.43,139.64
1,11,11,2,2,145.96,139.35
1,11,12,2,2,139.38,139.35
1,11,13,2,3,142.94,144.42
1,11,14,2,1,140.88,141.71
1,11,15,2,9,143.32,142.1
1,11,16,2,4,148.33,141.59
1,11,17,2,2,154.3,139.35
1,11,18,2,2,143.02,139.35
1,11,19,2,3,146.06,144.42
1,11,20,2,2,156.55,139.35
1,11,21,2,8,148.07,148.56
1,11,22,2,3,144.77,144.42
1,11,23,2,6,135.48,146.9
1,11,24,2,6,144.61,146.9
1,11,25,2,7,140.44,139.64
1,11,26,2,2,147.02,139.35
1,11,27,2,2,132.01,139.35
1,11,28,2,8,144.66,148.56
1,11,29,2,3,139.51,144.42
1,11,30,2,3,141.92,144.42
1,11,31,2,8,143.16,148.56
1,11,32,2,4,154.08,141.59
1,12,1,1,6,148.24,128.32
1,12,2,1,3,125.33,121.45
1,12,3,1,3,120.79,121.45
1,12,4,1,7,114.31,123.71
1,12,5,1,4,119.47,124.42
1,12,6,1,4,118.35,124.42
1,12,7,1,6,115.98,128.32
1,12,8,1,6,111.96,128.32
1,12,9,1,3,123.9,121.45
1,12,10,1,4,124.94,124.42
1,12,11,1,6,144.32,128.32
1,12,12,1,4,122.52,124.42
1,12,13,1,7,114.82,123.71
1,12,14,1,5,118.69,123.57
1,12,15,1,7,124.55,123.71
1,12,16,1,3,123.62,121.45
1,12,17,1,4,119.46,124.42
1,12,18,1,4,122.37,124.42
1,12,19,1,4,120.82,124.42
1,12,20,1,5,129.3,123.57
1,12,21,1,8,95.96,127.82
1,12,22,1,5,122.32,123.57
1,12,23,1,6,142.22,128.32
1,12,24,1,4,124.48,124.42
1,12,25,1,7,121.02,123.71
1,12,26,1,4,124.07,124.42
1,12,27,1,6,130.1,128.32
1,12,28,1,7,111.88,123.71
1,12,29,1,5,124.69,123.57
1,12,30,1,4,121.31,124.42
1,12,31,1,5,121.34,123.57
1,12,32,1,5,120.65,123.57
1,12,1,2,7,115.46,123.71
1,12,2,2,3,110.76,121.45
1,12,3,2,3,117.52,121.45
1,12,4,2,7,130.14,123.71
1,12,5,2,4,113.22,124.42
1,12,6,2,4,114.33,124.42
1,12,7,2,7,131.85,123.71
